Frage,Antwort,Score,Similarty score,Anmerkuren,generated_answer,Eva_Score
gibt es die Isokorb K-O-M4-V3?,"Aus den Informationen in den bereitgestellten Dokumenten geht hervor, dass es den Schöck Isokorb® XT Typ K-O in der Variante M4-V1 gibt, aber nicht in der von Ihnen angefragten Variante M4-V3. Die möglichen Haupttragstufen für den Schöck Isokorb® XT Typ K-O sind laut Seite 85 die Stufen M1 bis M4. Als mögliche Nebentragstufen sind auf Seite 85 nur die Variante V1 aufgeführt. Somit ist die Variante M4-V3 für den Schöck Isokorb® XT Typ K-O in den technischen Dokumenten nicht enthalten und daher nicht verfügbar.",1,0.87,,"Entschuldigung, ich kann diese Anfrage nicht beantworten, da die genaue Kombination ""Isokorb K-O-M4-V3"" in den bereitgestellten Seiten nicht explizit erwähnt wird. Die Seiten [Page 77] und [Page 88] enthalten Informationen über die Varianten des Schock Isokorb XT Typ K-O, aber es fehlt eine spezifische Erwähnung der Kombination ""M4-V3"". [Page 77] [Page 88]",1
Welche sind die Dehnfugenabstände für Isokorb Typ H,"Laut den technischen Informationen in den Dokumenten gelten für den Schöck Isokorb® XT Typ H folgende Regeln zum Dehnfugenabstand: 1. Maximaler Dehnfugenabstand: - Wenn die Bauteillänge den maximalen Dehnfugenabstand e übersteigt, müssen Dehnfugen eingebaut werden, um die Einwirkungen infolge von Temperaturänderungen zu begrenzen (Seite 184). - Bei Fixpunkten wie Ecken von Balkonen oder beim Einsatz des Schöck Isokorb® XT Typ H gilt der halbe maximale Dehnfugenabstand e/2 (Seite 184). 2. Dehnfugenanordnung: - Zwischen zwei Schöck Isokorb® XT Typ H-VV-NN muss ein anderer Schöck Isokorb® Typ mit einer Anschlusslänge von einem Meter angeordnet werden (Seite 185). - Werden zwei Schöck Isokorb® XT Typ H-NN jeweils am Rand der Dehnfuge angeordnet, sind folgende zulässige Dehnfugenabstände einzuhalten: - XT Typ H-NN1: 21,7 m - XT Typ H-NN2: 19,8 m (Seite 185) Zusammengefasst sind die maximalen Dehnfugenabstände für den Schöck Isokorb® XT Typ H vom Fixpunkt e/2 ≤ 21,7 m bzw. 19,8 m, je nach verwendeter Variante.",1,0.95,,"Die Dehnfugenabstände für Isokorb Typ H sind wie folgt: 
Bei Fixpunkten wie z. B. Ecken von Balkonen oder beim Einsatz der Schock Isokorbo XT Typen H gilt der halbe maximale Dehnfugenabstand e/2 [Page 45]. 
Für XT Typ H-NN1 ist der zulässige Dehnfugenabstand 21,7 m und für XT Typ H-NN2 ist er 19,8 m [Page 185]. 
Es ist wichtig zu beachten, dass die Querkraftübertragung in der Dehnfuge mit einem langsverschieblichen Querkraftdorn, z. B. Schock Stacono, sichergestellt werden kann [Page 45]. 
Die genauen Werte für die Dehnfugenabstände können je nach Anwendung und Typ des Isokorbs variieren, daher ist es ratsam, die spezifischen Angaben für den verwendeten Typ zu überprüfen [Page 214]. 

[Page 45][Page 185][Page 214]",1
Es ist möglich ein Balkon mit Höheversazt mit Isokorb ,"Aus den Dokumenten geht hervor, dass es möglich ist, einen Balkon mit Höhenversatz mit Schöck Isokorb® XT Produkten auszuführen: Schöck Isokorb® XT Typ K-U: ""Tragendes Wärmedämmelement für frei auskragende Balkone mit Höhenversatz nach unten oder Wandanschluss. Das Element überträgt negative Momente und positive Querkräfte."" (Seite 71) Schöck Isokorb® XT Typ K-O: ""Tragendes Wärmedämmelement für frei auskragende Balkone mit Höhenversatz nach oben oder Wandanschluss. Das Element überträgt negative Momente und positive Querkräfte."" (Seite 71) Konkrete Ausführungsdetails zu den maximalen Höhenversätzen finden sich auf Seite 73: ""Wenn die Bedingung hV ≤ hD - ca - ds - ci erfüllt ist, kann der Schöck Isokorb® XT Typ K mit geradem Zugstab gewählt werden."" Dabei ist hV der Höhenversatz, hD die Deckendicke, ca die Betondeckung außen, ds der Durchmesser des Zugstabs und ci die erforderliche Betondeckung innen. Wenn diese Bedingung nicht erfüllt ist, kann der Anschluss mit dem Schöck Isokorb® XT Typ K-U ausgeführt werden.",1,0.98,,"Ja, es ist möglich, einen Balkon mit Höhenversatz mit Isokorb zu bauen. Laut [Page 73: Balkon mit Hohenversatz nach unten mit Schock Isokorb XT Typ K] kann der Schock Isokorb XT Typ K mit geradem Zugstab gewählt werden, wenn die Bedingung hy = h - c - d - c erfüllt ist. Hierbei ist hy der Hohenversatz, h die Deckendicke, c die Betondeckung außen und d der Durchmesser des Zugstabs. Wenn diese Bedingung nicht erfüllt ist, kann der Anschluss mit Schock Isokorb XT Typ K-U ausgeführt werden. [Page 73]",1
Kann man mit Isokorb in recycle Beton verwendet werden,"Laut den technischen Informationen zu Schöck Isokorb® XT kann Recycling-Beton nach der DAfStb-Richtlinie mit rezyklierter Gesteinskörnung nach DIN EN 12620 der Typen 1 und 2 bis zu einer Betonfestigkeitsklasse C30/37 eingesetzt werden. Auf Seite 29 der Technischen Information heißt es dazu: ""Recycling-Beton nach der DAfStb-Richtlinie mit rezyklierter Gesteinskörnung nach DIN EN 12620 der Typen 1 und 2 darf bis zu einer Betonfestigkeitsklasse C30/37 eingesetzt werden."" Somit ist der Einsatz von Recycling-Beton bis zu einer Betonfestigkeitsklasse C30/37 mit Schöck Isokorb® möglich.",1,0.95,,"Entschuldigung, ich kann diese Anfrage nicht beantworten. [Page 103: Bauseitige Bewehrung - Schock Isokorb@ XT Typ K-O] und andere Seiten enthalten Informationen über die Verwendung von Isokorb, aber es gibt keine spezifischen Angaben über die Verwendung in recyceltem Beton.",0
"Gibt es einen Isokorb, der für Erdbeben geeignet ist?","Ja, der Schöck Isokorb ist für den Erdbebennachweis geeignet. Laut dem Bemessungshandbuch ""Schöck Isokorb® Erdbebennachweis für Balkone"" vom Oktober 2022 können Schöck Isokorb-Typen mit Druckelementen aus Beton oder Stahl für den Erdbebennachweis verwendet werden. Aus dem Dokument geht Folgendes hervor: - Der Erdbebennachweis erfolgt nach Eurocode 1998-1 und dem abZ Z-15.7-338 für Stahlbetonbalkone. (Seite 3) - Es werden zwei Verfahren beschrieben: ein vereinfachtes Verfahren für Balkone ohne Sicherheitsanforderungen (RC II) und ein detailliertes Verfahren für Balkone mit Sicherheitsanforderungen (RC I). (Seite 9-12) - Für den Erdbebennachweis sind die horizontalen und vertikalen statischen Erdbebenersatzlasten zu berücksichtigen. Die Ermittlung dieser Lasten ist im Detail beschrieben. (Seite 14-20) - Es werden verschiedene Varianten zur Aufnahme der horizontalen Erdbebenlasten unter Berücksichtigung der elastischen und plastischen Tragreserven der Schöck Isokorb-Typen K und H erläutert. (Seite 20-24) Somit sind die Schöck Isokorb-Produkte geeignet, um Stahlbetonbalkone im Erdbebenfall nachzuweisen. Die detaillierten Berechnungsverfahren und Nachweismöglichkeiten sind im Bemessungshandbuch beschrieben.",1,0.87,,"Ja, es gibt Isokorbe, die für Erdbeben geeignet sind. Auf Seite 189 [Page 189] wird ein Bemessungsbeispiel für den Nachweis für den außergewöhnlichen Lastfall Erdbeben gezeigt. Es werden verschiedene Schock Isokorb XT Typen wie der Schock Isokorb XT Typ H-VV2-NN1-REI120-H200-L150-5.2 und der Schock Isokorb XT Typ K-M7-V1-REI120-CV35-X120-H200-6.2 verwendet, um die Erdbebenlasten zu übertragen. Dies zeigt, dass es Isokorbe gibt, die für Erdbeben geeignet sind. [Page 189]",1
Kann der Isokorb Druckbelastungen standhalten?,"Aus den Dokumenten geht hervor, dass der Schöck Isokorb zur Übertragung von Druckkräften ausgelegt ist: 1. Laut Abschnitt C.1.2.1 (S. 44) berechnet sich der Bemessungswert der übertragbaren Druckkraft DRd in Abhängigkeit der Drucklagervariante: DRd = min { n · DRd,c; n · DRd,CCE } Dabei sind DRd,c und DRd,CCE die Bemessungswerte für die Betonkantentragfähigkeit bzw. die Drucklagertragfähigkeit. 2. In Tabelle C.7 (S. 45) sind die Bemessungswerte DRd,CCE für die verschiedenen HTE-Modul-Varianten angegeben. Diese liegen je nach Betonfestigkeitsklasse und Drucklagerabstand zwischen 25,5 kN und 34,4 kN pro Lagerpaar. 3. In Abschnitt C.1.2.3 (S. 46-47) sind weitere Details zur Bemessung der HTE-Compact®-Drucklager erläutert, mit denen hohe Druckkräfte übertragen werden können. Zusammenfassend ist festzustellen, dass der Schöck Isokorb zur Aufnahme und Ableitung von Druckbeanspruchungen konstruktiv ausgelegt und bemessen ist. Die technischen Unterlagen belegen, dass er Drucklasten zuverlässig übertragen kann.",1,0.53,,"Der Schock Isokorb kann Druckbelastungen standhalten, da er mit einem Drucklager ausgestattet ist. Allerdings gibt es auch Varianten ohne Drucklager, wie den Typ Q-Z, der zwangungsfrei ist [Page 127]. Es ist wichtig, die spezifischen Eigenschaften und Anforderungen des jeweiligen Isokorb-Typs zu berücksichtigen, um sicherzustellen, dass er den Anforderungen des Bauwerks entspricht. [Page 127] [Page 145]",1
Welche sind die Maximale Verformung der Isokorb Typ K M5 V3 H240,"Aus den Informationen in den Dokumenten kann ich die folgende Antwort zur maximalen Verformung des Schöck Isokorb® XT Typ K M5 V3 mit einer Höhe H=240 mm ableiten: Die Verformungsfaktoren (tan α) für den Typ K sind auf Seite 40 der technischen Information angegeben. Für den Typ K M5 V3 mit einer Höhe H=240 mm ergibt sich bei einer Betondeckung CV35 ein Verformungsfaktor tan α = 0,8 %. Die genaue Berechnung der Verformung wü erfolgt dann nach der Formel: wü = tan α · lk · (müd / mRd) · 10 [mm] Dabei sind: tan α = 0,8 % (aus Tabelle für Typ K M5 V3 bei H=240 mm und CV35) lk = Auskragungslänge [m] müd = maßgebendes Biegemoment [kNm/m] im Grenzzustand der Tragfähigkeit mRd = maximales Bemessungsmoment [kNm/m] des Schöck Isokorb® Die genauen Werte für lk, müd und mRd müssen vom Tragwerksplaner für den konkreten Anwendungsfall ermittelt werden. Die Dokumentation enthält dazu kein allgemeingültiges Beispiel. Somit kann aus den vorliegenden Informationen keine exakte Verformung angegeben werden, da die erforderlichen Projektparameter fehlen. Der Verformungsfaktor tan α = 0,8 % stellt jedoch den Richtwert dar, der für die Berechnung der Verformung wü durch den Tragwerksplaner zu verwenden ist.",1,0.95,,"Entschuldigung, ich kann diese Anfrage nicht beantworten, da die genaue Information über die maximale Verformung des Isokorb Typ K M5 V3 H240 nicht in den bereitgestellten Seiten gefunden werden kann. [Page 207: Verformung/Uberhohung] und [Page 40: Verformung/Uberhohung] enthalten Tabellen mit Verformungsfaktoren, aber die spezifische Kombination ""M5 V3 H240"" ist nicht aufgeführt.",0
Kann der Isokorb geteilt werden?,"Aus den Produktinformationen zur Schöck Isokorb® XT Typ K geht Folgendes hervor: ""Bauseitige Teilung des Schöck Isokorb® XT Typ K an den unbewehrten Stellen möglich; durch Teilung reduzierte Tragkraft berücksichtigen; erforderliche Randabstände berücksichtigen."" (Seite 46) ""Bauseitige Teilung des Schöck Isokorb® XT Typ K-O-F an den unbewehrten Stellen möglich; durch Teilung reduzierte Tragkraft berücksichtigen; erforderliche Randabstände berücksichtigen."" (Seite 109) ""Bauseitige Teilung des Schöck Isokorb® XT Typ K-U an den unbewehrten Stellen möglich; durch Teilung reduzierte Tragkraft berücksichtigen; erforderliche Randabstände berücksichtigen."" (Seite 90) ""Bauseitige Teilung des Schöck Isokorb® XT Typ K-F an den unbewehrten Stellen möglich; durch Teilung reduzierte Tragkraft berücksichtigen; erforderliche Randabstände berücksichtigen."" (Seite 61) Zusammengefasst ist eine bauseitige Teilung der Schöck Isokorb® XT Typ K-Produkte an den unbewehrten Stellen möglich, wobei dann die reduzierte Tragkraft zu berücksichtigen ist.",1,0.84,,"Ja, der Isokorb kann geteilt werden. Dies ist jedoch nur an den unbewehrten Stellen möglich und es muss berücksichtigt werden, dass die Tragkraft durch die Teilung reduziert wird. Es müssen auch die erforderlichen Randabstände berücksichtigt werden. [Page 46: Produktbeschreibung][Page 47: Produktbeschreibung][Page 48: Produktbeschreibung][Page 61: Produktbeschreibung][Page 90: Produktbeschreibung]",1
Kann der Isokorb Typ Q geteilt werden?,Laut den Produktinformationen im Dokument ist eine bauseitige Teilung des Schöck Isokorb® XT Typ Q an den unbewehrten Stellen möglich. Allerdings muss dabei die reduzierte Tragkraft durch die Teilung berücksichtigt werden. Außerdem müssen die erforderlichen Randabstände eingehalten werden. Quelle: Seite 133 des Dokuments.,1,0.84,,"Entschuldigung, ich kann diese Anfrage nicht beantworten, da ich keine Informationen über die Teilbarkeit des Isokorb Typ Q gefunden habe. [page_num:127][page_num:143][page_num:47]",0
Welche sind die Dehnfugenabstände für Isokorb Typ K?,"Laut den Informationen in der Dokumentation gibt es folgende Angaben zu den maximalen Dehnfugenabständen für den Schöck Isokorb® XT Typ K: Schöck Isokorb® XT Typ K 6.2 (Seite 45): Maximaler Dehnfugenabstand bei Dämmkörperdicke 120 mm: - M1-M4, M6-V1/V2/V3: e = 23,0 m - M6-VV1-M10: e = 21,7 m Schöck Isokorb® XT Typ K 6.1 (Seite 45): Maximaler Dehnfugenabstand bei Dämmkörperdicke 120 mm: - M11-V1/V2-M13-V1/V2: e = 15,5 m - M11-V3-M13-V3: e = 15,3 m Die Angaben beziehen sich auf den maximalen Dehnfugenabstand ""e"", der eingehalten werden muss. Bei Fixpunkten wie Ecken von Balkonen gilt der halbe maximale Dehnfugenabstand e/2.",1,0.95,,"Die Dehnfugenabstände für Isokorb Typ K sind abhängig von der Dammkorperdicke und der Tragstufe. Laut [Page 45] beträgt der maximale Dehnfugenabstand für den Schock Isokorb XT Typ K 6.2 bei einer Dammkorperdicke von 120 mm 23,0 m für M1-M6-V1/V2/V3 und 21,7 m für M6-VV1-M10. Für den Schock Isokorb XT Typ K 6.1 beträgt der maximale Dehnfugenabstand bei einer Dammkorperdicke von 120 mm 15,5 m für M11-V1/V2 - M13-V1/V2 und 15,3 m für M11-V3 - M13-V3. [Page 45]",1
